task_id,node_name,automation_share,automation_pct,augmentation_pct,pct,ai_autonomy_mean,human_only_time_mean,human_with_ai_time_mean
1,Resolve customer complaints regarding sales and service.,58.68,58.68,41.32,0.0,2.37,2.39,49.05
10009,"List parts needed, estimate costs, and plan work procedures, using parts lists, technical manuals, or diagrams.",41.67,41.67,58.33,0.0,3.12,6.98,33.04
10027,Explain assembly procedures or techniques to other workers.,70.59,70.59,29.41,0.0,2.59,5.69,67.44
10033,"Instruct customers in the installation, repair, or maintenance of products.",55.14,56.41,45.89,0.05,2.36,1.22,35.37
1006,Provide terminated employees with outplacement or relocation assistance.,44.76,44.76,55.24,0.01,2.65,7.32,118.97
1009,"Evaluate instructor performance and the effectiveness of training programs, providing recommendations for improvement.",24.94,24.94,75.06,0.01,2.67,3.58,33.45
101,"Evaluate training materials prepared by instructors, such as outlines, text, or handouts.",18.91,18.91,81.09,0.01,2.63,3.43,32.05
1010,Develop testing and evaluation procedures.,53.19,53.19,46.81,0.0,3.24,9.08,39.93
1012,"Confer with management and conduct surveys to identify training needs based on projected production processes, changes, and other factors.",60.0,60.0,40.0,0.0,2.86,3.08,16.55
1013,"Develop and organize training manuals, multimedia visual aids, and other educational materials.",60.74,60.74,39.26,0.18,3.4,8.62,23.35
1014,"Plan, develop, and provide training and staff development programs, using knowledge of the effectiveness of methods such as classroom training, demonstrations, on-the-job training, meetings, conferences, and workshops.",40.0,40.0,60.0,0.0,2.78,7.2,55.24
1015,Analyze training needs to develop new training programs or modify and improve existing programs.,53.57,53.57,46.43,0.0,2.83,1.33,7.46
10160,"Record production data, and maintain production logs.",100.0,100.0,0.0,0.0,2.84,4.32,86.21
10199,Maintain inventories of materials.,95.0,95.0,5.0,0.0,2.95,1.79,13.25
1022,Prepare and process requisitions and purchase orders for supplies and equipment.,64.26,67.42,37.5,0.0,2.73,2.13,10.85
1025,Review purchase order claims and contracts for conformance to company policy.,52.94,52.94,47.06,0.0,2.82,3.34,15.59
1027,"Develop and implement purchasing and contract management instructions, policies, and procedures.",49.43,52.94,54.17,0.0,3.04,10.71,45.72
1028,"Participate in the development of specifications for equipment, products, or substitute materials.",32.15,32.15,67.85,0.02,2.98,10.79,62.71
10306,Add dimensional details to blueprints or drawings made by other workers.,54.29,54.29,45.71,0.0,3.11,3.69,19.86
10316,Maintain production records.,66.67,66.67,33.33,0.0,2.89,5.58,55.29
10402,"Enter, store, and retrieve information on computer-aided equipment.",94.83,94.83,5.17,0.0,2.44,0.97,12.08
10475,Analyze problems and take appropriate action to ensure continuous and reliable operation of equipment and systems.,83.94,83.94,16.06,0.45,2.71,6.57,83.24
10476,"Maintain daily logs of operation, maintenance, and safety activities, including test results, instrument readings, and details of equipment malfunctions and maintenance work.",100.0,100.0,0.0,0.0,3.25,0.53,1.4
10496,"Record operating data, such as process conditions, test results, or instrument readings.",100.0,100.0,0.0,0.0,3.1,1.43,16.7
10507,Calculate material requirements or yields according to formulas.,56.06,56.06,43.94,0.0,2.66,2.5,18.15
1070,"Present and explain proposals, reports, or findings to clients.",52.44,53.54,48.55,0.02,2.49,1.71,13.18
10718,Provide customers with information about local roads or highways.,70.54,73.68,30.77,0.0,2.51,0.32,4.68
10779,Read work orders or receive oral instructions to determine work assignments or material or equipment needs.,96.43,96.43,3.57,0.0,1.79,0.24,2.34
